******************************************************** DEPRECATED ITKs REPORT ************************************
Artifact type,Deprecated Artifact,Header File,Replacement Artifact,Deprecated In,Removal Targeted In
ITK function,MDC_reverse_ordered_element_group_elements,Mdc0mdc/mdc0mdc.h,No replacement,2606,2912
ITK function,MDC_split_ordered_element_group_elements,Mdc0mdc/mdc0mdc.h,No replacement,2606,2912
ITK function,ME_create_meapprpathnode_from_appearance,ps/absocc.h,No replacement,14.2,2712
ITK function,ME_create_meapprpathroot_from_apprroot,ps/absocc.h,No replacement,14.2,2712
ITK function,ME_get_meapprpathnode_from_appearance,ps/absocc.h,No replacement,14.2,2712
ITK function,ME_get_meapprpathroot_from_apprroot,ps/absocc.h,No replacement,14.2,2712
ITK function,ME_meapprpathnode_ask_apprs,ps/absocc.h,No replacement,2312,2712
ITK function,ME_meapprpathnode_ask_config_appr,ps/absocc.h,No replacement,2312,2712
ITK function,ME_meapprpathnode_remove_appr,ps/absocc.h,No replacement,2312,2712
ITK function,ME_update_meapprpathroot,ps/absocc.h,No replacement,14.2,2712
ITK function,NOTE_ask_extension,user_exits/user_exits.h,No replacement,11.4,2712
Macro,POM_check_private_uniqueness_switch,pom/pom/pom_tokens.h,POM_check_space_uniqueness_switch,11.2.3,2712
API,POM_enquiry_set_expr_proprety,pom/enq/enq.h,POM_enquiry_set_expr_property,12.3,2712
Macro,POM_object_mask_not_changed,pom/pom/pom_tokens.h,No replacement,11.2.3,2712
Macro,POM_space_exclusive,pom/pom/pom_tokens.h,POM_space_change,11.3,2712
Macro,POM_space_non_exclusive,pom/pom/pom_tokens.h,POM_space_markup,11.3,2712
Macro,POM_space_private,pom/pom/pom_tokens.h,No replacement,11.2.3,2712
ITK function,PREF_reinitialize,tc/preferences.h,No replacement,11.6,2712
Macro,PS_bvr_rev_occ_mismatch,ps/ps_errors.h,No replacement,14.1,2712
Macro,PTN0PARTITION_add_failed_closure_rule_evaluated_to_skip,ptn0partition/Ptn0Partition_errors.h,PTN0PARTITION_is_partitionable_evaluated_to_false,14.3,2712
Macro,PTN0PARTITION_failed_to_create_membership,ptn0partition/Ptn0Partition_errors.h,PTN0PARTITION_cannot_create_member_owned_membership,2506,2712
ITK function,RDV_executeQPLFilter,rdv/rdv_qpl_api.h,No replacement,2312,2712
ITK function,RDV_getExecuteQPLFilterCount,rdv/rdv_qpl_api.h,No replacement,2312,2712
ITK function,RDV_getQPLBuilds,rdv/rdv_qpl_api.h,No replacement,2312,2712
ITK function,RDV_getQPLSchema,rdv/rdv_qpl_api.h,No replacement,2312,2712
ITK function,RELSTAT_ask_date_effectivity,tccore/releasestatus.h,WSOM_eff_ask_date_range,12.3,2712
ITK function,RELSTAT_ask_unit_effectivity,tccore/releasestatus.h,WSOM_eff_ask_unit_range,12.3,2712
ITK function,RELSTAT_set_date_effectivity,tccore/releasestatus.h,WSOM_eff_set_date_range,12.3,2712
ITK function,RELSTAT_set_unit_effectivity,tccore/releasestatus.h,WSOM_eff_set_unit_range,12.3,2712
ITK function,REQ_create_set_contents,req/requirement.h,REQ_create_set_contents2,13.3,2712
ITK function,REQ_create_set_contents2,req/requirement.h,REQ_create_set_contents3,14.2,2712
ITK function,REQ_create_set_contents3,req/requirement.h,REQ_create_set_contents4,14.3,2712
ITK function,SCHMGT_copyTaskWithPasteSpecial,schmgt/schmgt_itk.h,SCHMGT_copy_tasks_with_paste_special,11.2.3,2712
ITK function,SCHMGT_create_proxy_tasks,schmgt/schmgt_itk.h,SCHMGTBRI_create_proxy_tasks,11.2.3,2712
ITK function,SCHMGT_get_schedule_summary_task,schmgt/schmgt_bridge_itk.h,AOM_ask_value_tag,11.3,2712
ITK function,SERVICEPROCESSING__get_physBOMLine,serviceprocessing/serviceprocessing.h,SERVICEPROCESSING_get_physical_bom_line,11.2,2712
ITK function,SERVICEPROCESSING__valphysPartBase,serviceprocessing/serviceprocessing.h,SERVICEPROCESSING_is_child_physical_part,11.2,2712
ITK function,SERVICEPROCESSING_doubleToString,serviceprocessing/serviceprocessing.h,SERVICEPROCESSING_double_to_string,11.2,2712
ITK function,SERVICEPROCESSING_setReleaseStatus,serviceprocessing/serviceprocessing.h,SERVICEPROCESSING_set_release_status,11.2,2712
Macro,SIG_duplicate_association,mechatronics/mechatronics_errors.h,No replacement,11.1,2712
Macro,SIG_invalid_frameorsignal,mechatronics/mechatronics_errors.h,No replacement,11.1,2712
Macro,SIG_invalid_source,mechatronics/mechatronics_errors.h,No replacement,11.1,2712
Macro,SIG_invalid_target,mechatronics/mechatronics_errors.h,No replacement,11.1,2712
Macro,SIG_sig_has_a_pv,mechatronics/mechatronics_errors.h,No replacement,11.1,2712
Macro,SIS0_internal_error_posting_to_slack,sis0socialint/sis0socialint_errors.h,SIS0_internal_error_posting_to_slack,12.2,2712
Macro,SIS0_undefined_slack_channel,sis0socialint/sis0socialint_errors.h,SIS0_undefined_channel,12.2,2712
Macro,SIS0_undefined_slack_workspace_id,sis0socialint/sis0socialint_errors.h,SIS0_undefined_id,12.2,2712
ITK function,SPR0PhysicalPartRevisionSetPropertiesFromSaveAsInputPostAction,serviceprocessing/serviceprocessing.h,SERVICEPROCESSING_set_properties_from_save_as,11.2,2712
ITK function,STRNG_to_upper,fclasses/tc_string.h,STRNG_to_upper2,10.1.7,2712
Macro,TCTYPE_create_msg,tccore/tctype_msg.h,No replacement,8.3,2712
Macro,TCTYPE_createprops_msg,tccore/tctype_msg.h,No replacement,8.3,2712
Macro,TCTYPE_init_user_props_msg,tccore/tctype_msg.h,No replacement,8.3,2712
Macro,TCTYPE_viewerprops_msg,tccore/tctype_msg.h,No replacement,8.3,2712
Macro,TC_free_text,textsrv/textserver.h,MEM_free,10.1.3,2712
ITK function,TC_hier_text,textsrv/textserver.h,No replacement,10.1.3,2712
Macro,TC_include_dispatcher_ets_errors_h_deprecated,ets/ets_errors.h,dispatcher/dispatcher_errors.h,tc2008,2712
Macro,TC_include_dispatcher_ets_h_deprecated,ets/ets.h,dispatcher/dispatcher_itk.h,tc2008,2712
Macro,TC_include_dispatcher_ets_user_exits_h_deprecated,ets_user_exits/ets_user_exits.h,No replacement,tc2008,2712
Macro,TC_include_dispatcher_etstranslationrequest_h_deprecated,ets/etstranslationrequest.h,No replacement,tc2008,2712
ITK function,TC_print_dll_versions,tc/tc_util.h,SS_print_dll_versions,2406,2712
Macro,TIE_problem_running_ugclone,tie/tie_errors.h,TIE_problem_running_import_utility,11.2.2,2712
Macro,TL_both_released,tccore/tracelink_errors.h,TL_both_baselined,12.2,2712
Macro,TL_primary_released,tccore/tracelink_errors.h,TL_primary_baselined,12.2,2712
Macro,TL_secondary_released,tccore/tracelink_errors.h,TL_secondary_baselined,12.2,2712
API,Teamcenter::Awb0Element::getAwb0IsStructModifiable,awb0occmgmt/Awb0ElementDelegate.hxx,This operation is deprecated Active Workspace 3.2 onwards.,ActiveWorkspace3.2,2712
API,Teamcenter::BulkInput::fnd0Copy,metaframework/BulkSaveInputDelegate.hxx,Users have to use fnd0GetCopy instead of fnd0Copy,11.2.3,2712
API,Teamcenter::Cfg0configurator::Cfg0AbsProductLine::getCfg0Characterstics,Cfg0configurator/Cfg0AbsProductLineDelegate.hxx,Deprecated. See Support Announcement "getCfg0Characterstics Command Deprecated" in the Teamcenter 12.3 README.,12.3,2712
API,Teamcenter::Cfg0configurator::Cfg0AbsProductModel::getCfg0Characterstics,Cfg0configurator/Cfg0AbsProductModelDelegate.hxx,deprecated. See Support Announcement "getCfg0Characterstics Command Deprecated" in the Teamcenter 12.3 README.,12.3,2712
API,Teamcenter::Cfg0configurator::Cfg0AbsSumModelFamilyThread::getCfg0SummarizedModelFamily,Cfg0configurator/Cfg0AbsSumModelFamilyThreadDelegate.hxx,This property is deprecated Teamcenter 10.1.3 onwards and will be removed in Teamcenter 11.1. Please do not use this property.,10.1.3,2712
API,Teamcenter::Fnd0AbstractOccRevision::setFnd0EffectivityFormula,ps/Fnd0AbstractOccRevisionDelegate.hxx,DEPRECATED. SEE SUPPORT ANNOUNCEMENT 2512. This property is only used for expression effectivity authoring and being deprecated with expression effectivity functionality,2512,2912
API,Teamcenter::Logging::Logger::note,mld/logging/Logger.hxx,No replacement,11.4,2712
API,Teamcenter::PSBOMViewRevision::fnd0Save,ps/PSBOMViewRevisionDelegate.hxx,The operation is deprecated as of TC2506. To attach any pre/post extensions they should be attached to TC_save_msg or to fnd0Save (Bulk Save) operation.,2506,2712
API,Teamcenter::systemsengineering::Seg0IntfSpecRevision::seg0GetSeg0InterfaceElements,systemsengineering/Seg0IntfSpecRevisionDelegate.hxx,Deprecated. See Support Announcement 2312.,2312,2712
ITK function,WEB_RDV_decodeGetQPLScheme,rdv/rdv.h,No replacement,2312,2712
ITK function,WEB_RDV_executeQPLFilter,rdv/rdv.h,No replacement,2312,2712
ITK function,WEB_RDV_getExecuteQPLFilterCount,rdv/rdv.h,No replacement,2312,2712
ITK function,WEB_RDV_getQPLBuilds,rdv/rdv.h,No replacement,2312,2712
API,attr_id,property/legacy_counter.h,No replacement,2606,2912
API,awb0::Teamcenter::Fnd0ConditionHelper::awb0IsCompareCmdVisible,awb0occmgmtbom/Fnd0ConditionHelperExt.hxx,this operation is deprecated. Use awb0IsCompareContentCmdVisible operation that takes client context and root objects as input.,ActiveWorkspace4.2,2712
API,awp0::aws2::Fnd0ConditionHelper::awp0getPropValueOnRefObj,awp0aws2/Fnd0ConditionHelperExt.hxx,This operation is deprecated AW6.0 onwards fnd0getPropValueOnRefObj should be used from AW6.0 onwards,ActiveWorkspace6.0,2712
API,behaviormodeling::Bhm0BehaviorModl::bhm0SaveModelData,Bhm0bhm/Bhm0BehaviorModlDelegate.hxx,It was a dummy operation,10.1.2,2712
API,behaviormodeling::Bhm0BehaviorModlRevision::bhm0SaveModelData,Bhm0bhm/Bhm0BehaviorModlRevisionDelegate.hxx,It was a dummy operation.,10.1.2,2712
API,behaviormodeling::Bhm0ComponentRep::bhm0SaveComp,Bhm0bhm/Bhm0ComponentRepDelegate.hxx,It was a dummy method.,10.1.2,2712
ITK function,fnd_strcpy,base_utils/FndStringUtils.h,fnd_strlcpy,11.3,2712
API,getLogCorrelationId,mld/logging/LoggerTree.hxx,Teamcenter::Common::Logging::LogCorrelation,14.3,2712
API,getObjectBasedOpIntForSetBasedOpInt,extensionframework/OperationDispatcherRegistry.hxx,No replacement,11.2.4,2712
ITK function,getValidPhysicalPartRevAndPartRev,mrocore/mrocore.h,MROCORE_get_valid_physical_part_rev_and_part_rev,2506,2712
API,isMatchAllBaseAction,extensionframework/PropOperationDispatcher.hxx,getBaseActionFunctionType,14.0,2712
API,item_ids_issued,property/legacy_counter.h,No replacement,2606,2912
API,item_ids_issued_list,property/legacy_counter.h,No replacement,2606,2912
API,nextIdInstance,property/legacy_counter.h,No replacement,2606,2912
API,registerLogCorrelationId,mld/logging/LoggerTree.hxx,Teamcenter::Common::Logging::LogCorrelation,14.3,2712
API,sci0imdsintegration::Sci0ItemHelperObject::setSci0IsMDS,sci0imdsintegration/Sci0ItemHelperObjectDelegate.hxx,DEPRECATED. SEE SUPPORT ANNOUNCEMENT 2512.,2512,2912
API,setIsMatchAllBaseAction,extensionframework/PropOperationDispatcher.hxx,setBaseActionFunctionType,14.0,2712
ITK function,txt_destructor,textsrv/textserver.h,TXTSRV_get_substituted_text_resource,10.1.3,2712
ITK function,txt_noSubText,textsrv/textserver.h,TXTSRV_get_unsubstituted_text_resource,10.1.3,2712
ITK function,txt_subText,textsrv/textserver.h,TXTSRV_get_substituted_text_resource,10.1.3,2712




******************************************************** DEPRECATED TEAMCENTER SERVICES REPORT ************************************




Service Library,Service,Deprecated Operation,Deprecation Description,Deprecated In,Removal Targeted In
Ase0SoaActiveworkspacesyseng,Diagrammanagement,Ase0::Services::Activeworkspacesyseng::_2012_10::Diagrammanagement::createConnections,There is no replacement.,2506,2712
Ase0SoaActiveworkspacesyseng,Diagrammanagement,Ase0::Services::Activeworkspacesyseng::_2012_10::Diagrammanagement::createTracelinks,There is no replacement.,2506,2712
Ase0SoaActiveworkspacesyseng,Diagrammanagement,Ase0::Services::Activeworkspacesyseng::_2012_10::Diagrammanagement::deleteConnections,There is no replacement.,2506,2712
Ase0SoaActiveworkspacesyseng,Diagrammanagement,Ase0::Services::Activeworkspacesyseng::_2012_10::Diagrammanagement::getChildOccsPortsConnections,There is no replacement.,2506,2712
Ase0SoaActiveworkspacesyseng,Diagrammanagement,Ase0::Services::Activeworkspacesyseng::_2012_10::Diagrammanagement::getDiagramLegend,This operation does not support ability to consider display rules for returned types and ability to define scope for creation of any category types. Use the getDiagramLegend4 service operation.,10.1.5,2712
Ase0SoaActiveworkspacesyseng,Diagrammanagement,Ase0::Services::Activeworkspacesyseng::_2014_11::Diagrammanagement::getDiagramLegend2,This operation does not support ability to consider display rules for returned types and ability to define scope for creation of any category types. Use the getDiagramLegend4 service operation.,10.1.5,2712
Ase0SoaActiveworkspacesyseng,Diagrammanagement,Ase0::Services::Activeworkspacesyseng::_2014_11::Diagrammanagement::getDiagramLegend3,This operation does not support ability to define scope for creation of any category types. Use the getDiagramLegend4 service operation.,10.1.5,2712
Ase0SoaActiveworkspacesyseng,Diagrammanagement,Ase0::Services::Activeworkspacesyseng::_2015_10::Diagrammanagement::getDiagramLegend4,This operation is deprecated. Use getDiagramLegend5 operation.,ActiveWorkspace4.0,2712
Cae0SoaSimproc,Simulationtoollaunch,Cae0::Services::Simproc::_2014_12::Simulationtoollaunch::executeSimulationToolLaunch,Use the executeSimulationToolLaunch operation from the Cae0::Services::Simproc::_2015_10 namespace.,10.1.5,2712
Cae0SoaSimproc,Simulationtoollaunch,Cae0::Services::Simproc::_2016_05::Simulationtoollaunch::executeSimulationToolLaunch,Use the executeSimulationToolLaunch operation from the Cae0::Services::Simproc::_2017_11 namespace.,11.4,2712
Cae0SoaSimproc,Simstructuremanagement,Cae0::Services::Simproc::_2017_05::Simstructuremanagement::executeStructureMap,Use the generateCAEStructure operation.,11.6,2712
Cae0SoaSimproc,Simulationtoollaunch,Cae0::Services::Simproc::_2017_11::Simulationtoollaunch::executeSimulationToolLaunch,Use the executeSimulationToolLaunch operation from the Cae0::Services::Simproc::_2020_01 namespace.,12.3,2712
Cae0SoaSimproc,Simulationtoollaunch,Cae0::Services::Simproc::_2020_01::Simulationtoollaunch::executeSimulationToolLaunch,use the executeSimulationToolLaunch operation from the Cae0::Services::Simproc::_2023_06 namespace.,14.3,2712
Cpd0SoaCpdcore,Datamanagement,Cpd0::Services::Cpdcore::_2011_06::Datamanagement::createOrUpdateDesignControlElements,Use the createOrUpdateDesignControlElements operation from the _2012_06 namespace.,9.1.1,2712
Cpd0SoaCpdcore,Realization,Cpd0::Services::Cpdcore::_2011_06::Realization::updateWorksetSubsetContent,Use the updateSubsetsContent operation.,11.2.3,2712
Crt1SoaValidationcontractaw,Vcmanagement,Crt1::Services::Validationcontractaw::_2018_05::Vcmanagement::validateAnalysisRequest,The service operation integrates with LMS simulation tools  however  latest integration with Simulation tools is done using Tc-Sim. Customers should use Tc-Sim based integration with Verification Management.,2312,2712
Crt1SoaValidationcontractaw,Vcmanagement,Crt1::Services::Validationcontractaw::_2021_06::Vcmanagement::getVerificationRequestInfo,This operation is deprecated. Please use getVerificationRequestInfo2.,2512,2912
Dia0SoaDiagramming,Diagramming,Dia0::Services::Diagramming::_2015_07::Diagramming::findDiagrams,This operation is being deprecated  use findDiagrams2 instead.,2506,2712
Dia0SoaDiagramming,Diagramming,Dia0::Services::Diagramming::_2015_07::Diagramming::queryDiagramElementsAssociatedWith,Deprecated. See Support Announcement 2606.,2606,2912
Dia0SoaDiagramming,Diagramming,Dia0::Services::Diagramming::_2015_07::Diagramming::queryDiagramElementsNotAssociated,Deprecated. See Support Announcement 2606.,2606,2912
Dia0SoaDiagramming,Diagramming,Dia0::Services::Diagramming::_2015_07::Diagramming::queryElementsNotInDiagram,Deprecated. See Support Announcement 2606.,2606,2912
Dia0SoaDiagramming,Diagramming,Dia0::Services::Diagramming::_2017_05::Diagramming::findDiagrams2,Deprecated. See Support Announcement 2606.,2606,2912
Eda0SoaEdmdcollab,Edmdcollaboration,Eda0::Services::Edmdcollab::_2020_01::Edmdcollaboration::getCollaborationData,Use the getCollaborationData2 operation from the _2020_04 namespace.,12.4,2712
Eda0SoaEdmdcollab,Edmdcollaboration,Eda0::Services::Edmdcollab::_2020_01::Edmdcollaboration::publishIDX,Use the publishIDX2 operation from the _2020_04 namespace.,12.4,2712
Evm1SoaViewmgmtaw,Viewdatamanagement,Evm1::Services::Viewmgmtaw::_2019_06::Viewdatamanagement::executeRecipes2,This operation is deprecated as it does not support 1) Multiple BOM 2) Resolving output results to occurrence Use executeRecipes3 operation.,ActiveWorkspace5.0,2712
Evm1SoaViewmgmtaw,Viewdatamanagement,Evm1::Services::Viewmgmtaw::_2020_05::Viewdatamanagement::executeRecipes3,Deprecated. See Support Announcement 2606.,2606,2912
Fnd0SoaDiagramming,Diagrammanagement,Fnd0::Services::Diagramming::_2011_06::Diagrammanagement::createDiagram,Deprecated. See Support Announcement 2312.,2312,2712
Fnd0SoaDiagramming,Diagrammanagement,Fnd0::Services::Diagramming::_2011_06::Diagrammanagement::createOrUpdateTemplate,Use the createOrUpdateTemplate operation from the 2012_09 namespace.,10,2712
Fnd0SoaDiagramming,Diagrammanagement,Fnd0::Services::Diagramming::_2011_06::Diagrammanagement::getDiagramMembers,Deprecated. See Support Announcement 2312.,2312,2712
Fnd0SoaDiagramming,Diagrammanagement,Fnd0::Services::Diagramming::_2011_06::Diagrammanagement::openDiagram,Deprecated. See Support Announcement 2312.,2312,2712
Fnd0SoaDiagramming,Diagrammanagement,Fnd0::Services::Diagramming::_2011_06::Diagrammanagement::saveDiagram,Deprecated. See Support Announcement 2312.,2312,2712
Fnd0SoaDiagramming,Diagrammanagement,Fnd0::Services::Diagramming::_2012_09::Diagrammanagement::createOrUpdateTemplate,Deprecated. See Support Announcement 2312.,2312,2712
Fnd0SoaDiagramming,Dndmanagement,Fnd0::Services::Diagramming::_2014_06::Dndmanagement::createAndPaste,Deprecated. See Support Announcement 2312.,2312,2712
Fnd0SoaDiagramming,Dndmanagement,Fnd0::Services::Diagramming::_2014_06::Dndmanagement::createConnectionPortsAndConnect,Deprecated. See Support Announcement 2312.,2312,2712
Fnd0SoaEditcontext,Datamanagement,Fnd0::Services::Editcontext::_2014_12::Datamanagement::setEditContext,Use the setChangeContext2 operation from the _2016_10 namespace.,11.2.3,2712
Fnd0SoaEditcontext,Datamanagement,Fnd0::Services::Editcontext::_2016_04::Datamanagement::setChangeContext,Use the setChangeContext2 operation from the _2016_10 namespace.,11.2.3,2712
Mdc0SoaMdconnectivity,Mdconnectivity,Mdc0::Services::Mdconnectivity::_2014_10::Mdconnectivity::createOrUpdateElementGroups,Deprecated. See Support Announcement 2606.,2606,2912
Mdc0SoaMdconnectivity,Mdconnectivity,Mdc0::Services::Mdconnectivity::_2014_10::Mdconnectivity::createOrUpdateModelElements,Deprecated. See Support Announcement 2606.,2606,2912
Mdc0SoaMdconnectivity,Mdconnectivity,Mdc0::Services::Mdconnectivity::_2014_10::Mdconnectivity::findConnectionsOnPort,Deprecated. See Support Announcement 2606.,2606,2912
Mdc0SoaMdconnectivity,Mdconnectivity,Mdc0::Services::Mdconnectivity::_2014_10::Mdconnectivity::findPorts,Deprecated. See Support Announcement 2606.,2606,2912
Mdc0SoaMdconnectivity,Mdconnectivity,Mdc0::Services::Mdconnectivity::_2014_10::Mdconnectivity::findPortsGroups,Deprecated. See Support Announcement 2606.,2606,2912
Mdc0SoaMdconnectivity,Mdconnectivity,Mdc0::Services::Mdconnectivity::_2014_10::Mdconnectivity::getConditionalElemGroups,Deprecated. See Support Announcement 2606.,2606,2912
Mdc0SoaMdconnectivity,Mdconnectivity,Mdc0::Services::Mdconnectivity::_2014_10::Mdconnectivity::getIdentity,Deprecated. See Support Announcement 2606.,2606,2912
